iter	Passed	Remaining
399	48531	72796
400	48641	72659
401	48774	72555
402	48890	72425
403	49008	72299
404	49129	72177
405	49251	72057
406	49374	71938
407	49488	71807
408	49597	71667
409	49722	71551
410	49840	71425
411	49961	71304
412	50083	71183
413	50209	71069
414	50337	70957
415	50452	70827
416	50574	70706
417	50693	70583
418	50809	70454
419	50924	70324
420	51044	70201
421	51168	70083
422	51294	69968
423	51415	69847
424	51527	69714
425	51644	69586
426	51756	69452
427	51880	69336
428	51997	69208
429	52112	69079
430	52226	68949
431	52340	68817
432	52461	68696
433	52583	68577
434	52707	68459
435	52830	68340
436	52947	68213
437	53071	68095
438	53202	67987
439	53337	67884
440	53454	67757
441	53571	67631
442	53684	67498
443	53802	67373
444	53918	67246
445	54038	67123
446	54147	66988
447	54257	66852
448	54391	66748
449	54505	66618
450	54623	66492
451	54735	66360
452	54854	66237
453	54975	66116
454	55096	65995
455	55220	65877
456	55356	65774
457	55472	65646
458	55588	65519
459	55704	65391
460	55827	65273
461	55948	65152
462	56063	65023
463	56198	64919
464	56308	64785
465	56420	64654
466	56540	64531
467	56665	64414
468	56792	64300
469	56904	64169
470	57020	64042
471	57143	63922
472	57259	63797
473	57368	63661
474	57479	63529
475	57595	63403
476	57719	63285
477	57827	63150
478	57959	63041
479	58079	62919
480	58196	62794
481	58318	62674
482	58442	62556
483	58562	62434
484	58682	62312
485	58801	62189
486	58906	62051
487	59034	61937
488	59156	61818
489	59269	61688
490	59378	61554
491	59492	61427
492	59605	61298
493	59720	61171
494	59831	61040
495	59948	60915
496	60076	60801
497	60191	60675
498	60313	60555
499	60426	60426
500	60549	60308
501	60664	60180
502	60777	60052
503	60894	59928
504	61021	59812
505	61150	59700
506	61266	59574
507	61381	59448
508	61499	59324
509	61610	59194
510	61747	59089
511	61884	58983
512	62020	58876
513	62140	58755
514	62255	58629
515	62377	58508
516	62496	58386
517	62607	58256
518	62713	58121
519	62830	57997
520	62945	57871
521	63053	57738
522	63167	57611
523	63279	57483
524	63388	57351
525	63516	57237
526	63635	57114
527	63752	56990
528	63877	56873
529	64002	56756
530	64108	56623
531	64220	56495
532	64344	56377
533	64480	56269
534	64626	56170
535	64770	56069
536	64891	55949
537	65014	55829
538	65133	55707
539	65248	55582
540	65365	55457
541	65490	55340
542	65607	55216
543	65722	55091
544	65854	54979
545	65966	54851
546	66077	54722
547	66218	54618
548	66349	54505
549	66467	54382
550	66592	54264
551	66702	54135
552	66820	54011
553	66941	53891
554	67058	53767
555	67176	53644
556	67301	53527
557	67412	53398
558	67544	53286
559	67663	53163
560	67785	53044
561	67907	52924
562	68021	52798
563	68141	52676
564	68254	52549
565	68371	52426
566	68489	52302
567	68611	52183
568	68731	52061
569	68846	51936
570	68966	51815
571	69089	51696
572	69214	51578
573	69333	51456
574	69441	51326
575	69570	51211
576	69711	51105
577	69820	50975
578	69926	50844
579	70044	50721
580	70172	50606
581	70291	50484
582	70404	50357
583	70522	50235
584	70645	50116
585	70758	49989
586	70874	49865
587	70981	49735
588	71086	49603
589	71212	49486
590	71330	49363
591	71448	49241
592	71564	49117
593	71678	48992
594	71801	48873
595	71915	48748
596	72019	48616
597	72130	48489
598	72238	48360
599	72347	48231
600	72463	48108
601	72578	47983
602	72683	47853
603	72791	47723
604	72896	47593
605	73020	47475
606	73139	47354
607	73252	47228
608	73368	47104
609	73474	46975
610	73586	46849
611	73702	46726
612	73808	46597
613	73918	46469
614	74029	46343
615	74143	46219
616	74263	46098
617	74377	45974
618	74496	45853
619	74609	45728
620	74726	45605
621	74833	45477
622	74948	45354
623	75067	45232
624	75180	45108
625	75292	44983
626	75401	44856
627	75516	44732
628	75635	44611
629	75757	44492
630	75873	44369
631	75991	44248
632	76102	44122
633	76217	43999
634	76341	43881
635	76453	43756
636	76572	43635
637	76690	43513
638	76805	43391
639	76912	43263
640	77031	43142
641	77140	43016
642	77271	42901
643	77383	42777
644	77490	42649
645	77610	42529
646	77718	42402
647	77824	42274
648	77946	42155
649	78057	42031
650	78173	41908
651	78291	41787
652	78401	41662
653	78530	41546
654	78647	41424
655	78763	41302
656	78880	41181
657	78991	41056
658	79109	40935
659	79225	40813
660	79340	40690
661	79452	40566
662	79570	40445
663	79669	40314
664	79789	40194
665	79899	40069
666	80011	39945
667	80123	39821
668	80240	39700
669	80357	39578
670	80466	39453
671	80596	39338
672	80710	39215
673	80821	39091
674	80935	38969
675	81042	38842
676	81160	38722
677	81294	38608
678	81410	38487
679	81526	38365
680	81640	38242
681	81754	38120
682	81876	38001
683	81986	37876
684	82104	37756
685	82229	37638
686	82341	37514
687	82450	37390
688	82565	37268
689	82685	37148
690	82800	37026
691	82915	36904
692	83034	36784
693	83154	36664
694	83269	36542
695	83379	36418
696	83495	36297
697	83601	36171
698	83711	36047
699	83828	35926
700	83944	35805
701	84060	35683
702	84179	35563
703	84283	35437
704	84402	35317
705	84517	35195
706	84631	35073
707	84749	34953
708	84868	34833
709	84984	34712
710	85096	34588
711	85226	34473
712	85351	34356
713	85467	34234
714	85580	34112
715	85700	33992
716	85820	33873
717	85935	33751
